freq (Hz),leafValue( getData("out" ?result "noise") "Q0.m" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 32 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 64 ) (A / sqrt(Hz))
30.1995,88.5415E-12,124.880E-12,175.660E-12,245.786E-12,340.366E-12,462.075E-12,604.731E-12
30.9030,87.5543E-12,123.488E-12,173.704E-12,243.054E-12,336.595E-12,456.992E-12,598.172E-12
31.6228,86.5810E-12,122.116E-12,171.776E-12,240.361E-12,332.878E-12,451.981E-12,591.708E-12
32.3594,85.6214E-12,120.763E-12,169.875E-12,237.705E-12,329.213E-12,447.041E-12,585.337E-12
33.1131,84.6753E-12,119.429E-12,168.000E-12,235.087E-12,325.601E-12,442.171E-12,579.058E-12
33.8844,83.7426E-12,118.114E-12,166.152E-12,232.506E-12,322.039E-12,437.371E-12,572.869E-12
34.6737,82.8231E-12,116.818E-12,164.330E-12,229.961E-12,318.528E-12,432.640E-12,566.770E-12
35.4813,81.9167E-12,115.540E-12,162.534E-12,227.453E-12,315.068E-12,427.977E-12,560.760E-12
36.3078,81.0232E-12,114.280E-12,160.764E-12,224.981E-12,311.657E-12,423.381E-12,554.837E-12
37.1535,80.1424E-12,113.039E-12,159.019E-12,222.544E-12,308.295E-12,418.852E-12,549.001E-12
38.0189,79.2743E-12,111.815E-12,157.299E-12,220.142E-12,304.981E-12,414.388E-12,543.251E-12
38.9045,78.4186E-12,110.608E-12,155.604E-12,217.774E-12,301.715E-12,409.989E-12,537.585E-12
39.8107,77.5752E-12,109.420E-12,153.933E-12,215.441E-12,298.497E-12,405.654E-12,532.003E-12
40.7380,76.7440E-12,108.248E-12,152.287E-12,213.142E-12,295.325E-12,401.382E-12,526.504E-12
41.6869,75.9248E-12,107.093E-12,150.664E-12,210.875E-12,292.199E-12,397.173E-12,521.086E-12
42.6580,75.1175E-12,105.955E-12,149.065E-12,208.642E-12,289.119E-12,393.026E-12,515.749E-12
43.6516,74.3219E-12,104.833E-12,147.489E-12,206.442E-12,286.084E-12,388.940E-12,510.491E-12
44.6684,73.5380E-12,103.728E-12,145.936E-12,204.273E-12,283.094E-12,384.914E-12,505.313E-12
45.7088,72.7655E-12,102.639E-12,144.406E-12,202.137E-12,280.148E-12,380.948E-12,500.212E-12
46.7735,72.0044E-12,101.566E-12,142.898E-12,200.032E-12,277.245E-12,377.041E-12,495.188E-12
47.8630,71.2545E-12,100.509E-12,141.413E-12,197.958E-12,274.386E-12,373.193E-12,490.241E-12
48.9779,70.5156E-12,99.4678E-12,139.949E-12,195.915E-12,271.569E-12,369.402E-12,485.369E-12
50.1187,69.7877E-12,98.4417E-12,138.508E-12,193.902E-12,268.793E-12,365.668E-12,480.570E-12
51.2861,69.0707E-12,97.4309E-12,137.087E-12,191.919E-12,266.060E-12,361.991E-12,475.846E-12
52.4807,68.3643E-12,96.4352E-12,135.688E-12,189.966E-12,263.367E-12,358.369E-12,471.194E-12
53.7032,67.6685E-12,95.4544E-12,134.310E-12,188.042E-12,260.715E-12,354.802E-12,466.613E-12
54.9541,66.9831E-12,94.4883E-12,132.953E-12,186.147E-12,258.104E-12,351.289E-12,462.104E-12
56.2341,66.3081E-12,93.5368E-12,131.616E-12,184.281E-12,255.531E-12,347.830E-12,457.664E-12
57.5440,65.6432E-12,92.5996E-12,130.299E-12,182.443E-12,252.998E-12,344.424E-12,453.294E-12
58.8844,64.9884E-12,91.6767E-12,129.003E-12,180.633E-12,250.504E-12,341.071E-12,448.992E-12
